SID,DOM_TYPE,DESL_MEAN,CLAT_MEAN,CLON_MEAN,YEAR_START,MONTH_START,DAY_START,AREA_MAX,AREA_MEAN,OVERLAP_MEAN,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN,PERC_RIDGE,PERC_OMEGA,PERC_HYBRID,PERC_REX,PERC_POLAR
2000001,Rex block (hybrid),,48.081210109319954,-19.445363952652336,2000,1,16,6783890,4816692.666666667,0.8019999999999999,9,7.317757606506348,4.845079488057014,5887.8,5802.955555555555,0.1111111111111111,0.4444444444444444,0,0.0,0.0
2000002,Ridge,,44.25092757821436,-164.98645194672616,2000,1,16,3574398,2132506.0,0.64475,5,4.525113105773926,3.501938319502881,5780.2,5744.04,0.8,0.0,0,0.0,0.0
2000003,Rex block,,71.6094593525267,56.9510578317425,2000,1,21,2486493,1571299.5,0.586,4,0.6642580032348633,0.21069833144957523,5151.2,5117.55,0.0,0.0,0,0.75,0.25
2000004,Rex block,,51.732727412817766,-22.17380916072326,2000,1,24,5665573,2870796.75,0.5713333333333334,4,6.417250633239746,4.645365765999701,5899.2,5807.6,0.0,0.25,0,0.5,0.0
2000005,Ridge,,43.17388647077117,-17.888899384238968,2000,1,27,10383854,4407383.406779661,0.754586206896552,59,6.136107444763184,2.4411047230348477,5877.8,5796.340677966101,0.711864406779661,0.23728813559322035,0,0.0,0.0
2000006,Rex block,,69.05099284843543,-69.93541656955288,2000,1,28,1903353,1349326.6666666667,0.6716,6,0.8558511734008789,0.1603569578332073,5083.0,5037.833333333333,0.0,0.0,0,0.8333333333333334,0.16666666666666666
2000007,Rex block,,69.28554531671686,-25.89521641685114,2000,2,3,8150326,4438647.6,0.7184285714285715,15,5.037438869476318,1.429756228302281,5509.2,5397.186666666666,0.0,0.0,0,0.8666666666666667,0.13333333333333333
2000008,Rex block,,54.51826222329126,-130.96967927588275,2000,2,3,4771943,2990094.25,0.7066666666666667,4,6.58947229385376,4.959971011821706,5814.5,5677.975,0.0,0.0,0,0.5,0.0
2000009,Rex block (polar),,78.1439095435047,-50.70910525240163,2000,2,5,6687168,2713065.4166666665,0.6984347826086956,24,2.891826629638672,0.37668947483544973,5426.0,5205.287499999999,0.0,0.0,0,0.0,1.0
2000010,Ridge,,41.99123255553711,-112.69103286562421,2000,2,6,2346944,1500927.75,0.794,4,5.935943126678467,3.2937129049267604,5794.0,5741.975,1.0,0.0,0,0.0,0.0
2000011,Ridge,,42.0576583596029,-96.52541435217304,2000,2,20,2131174,1538057.75,0.5403333333333333,4,3.508472442626953,2.3377080848447465,5751.0,5727.95,1.0,0.0,0,0.0,0.0
2000012,Rex block (polar),,80.02312493637481,-126.48777697912556,2000,2,27,3255908,2016763.1666666667,0.6282,6,1.8186330795288086,0.31933289692660255,5233.2,5218.683333333333,0.0,0.0,0,0.0,1.0
2000013,Rex block (polar),,73.56867162816731,-56.935867307261,2000,3,1,6615029,3535021.68,0.7169583333333333,25,3.6071300506591797,1.0039321854006853,5513.0,5380.7480000000005,0.0,0.0,0,0.32,0.68
2000014,Ridge,,42.51248177292893,-103.73345411159166,2000,3,2,2737363,1540725.1666666667,0.6448,6,4.445099830627441,3.1880720726231533,5782.0,5722.116666666666,1.0,0.0,0,0.0,0.0
