SID,YEAR,MONTH,DAY,TYPE,CLON,CLAT,DESL,LATMIN,LATMAX,LONMIN,LONMAX,JUL,AREA,AREA_PER_PREV,AREA_PER_DUR,STEP,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN
2020060,2020,6,20,Ridge,-4.084355428488626,42.804187853385976,,42.5,45.0,-12.5,5.0,172,510299,,,1,9,0.8916378021240234,0.7212599118550619,5835.8,5822.2
2020060,2020,6,21,Ridge,-0.1556935049122328,44.2690357966678,356.0645322275985,42.5,47.5,-10.0,7.5,173,830761,0.781,0.48,2,9,1.581740379333496,1.285885175069173,5884.0,5841.8
2020060,2020,6,22,Omega block,12.446301013863692,51.29825395372678,1220.791588711765,42.5,65.0,-15.0,32.5,174,3417991,1.0,0.243,3,9,3.184390068054199,2.2919047046715106,5901.0,5798.9
2020060,2020,6,23,Ridge,3.9325275599911866,48.65834175234786,675.3180316926977,42.5,60.0,-15.0,15.0,175,2772892,0.567,0.699,4,9,3.5387039184570312,2.085546431718049,5884.2,5845.9
2020060,2020,6,24,Omega block,14.750299337991732,54.28216512610432,974.1133156108731,42.5,65.0,-10.0,35.0,176,4695720,0.884,0.522,5,9,3.927290439605713,2.1642680215363455,5876.2,5837.4
2020060,2020,6,25,Omega block,18.61499626891966,53.26984073123107,277.7301957701658,42.5,62.5,-5.0,45.0,177,6028491,0.831,0.647,6,9,3.7941694259643555,1.9939330101013184,5891.0,5838.4
2020060,2020,6,26,Omega block,25.0507602038005,52.0185854741933,455.77252344652305,42.5,65.0,0.0,47.5,178,4658710,0.696,0.901,7,9,3.5399913787841797,2.234634757041931,5861.5,5828.7
2020060,2020,6,27,Ridge,27.02024820699277,47.44179093033682,528.1835521210135,42.5,55.0,-2.5,42.5,179,3023010,0.594,0.915,8,9,3.20894718170166,1.768442622402258,5844.2,5821.7
2020060,2020,6,28,Ridge,19.429845370377638,45.14608587221718,636.243783593027,42.5,50.0,2.5,37.5,180,2136034,0.586,0.829,9,9,1.8834829330444336,0.9690486467801608,5866.5,5824.2
2020061,2020,6,21,Ridge,-119.28948308114653,42.5,,42.5,42.5,-132.5,-105.0,173,683506,,,1,7,1.1367321014404297,1.005309820175171,5838.8,5823.4
2020061,2020,6,22,Ridge,-120.40585496307838,44.4102597254407,230.72848711961979,42.5,47.5,-132.5,-105.0,174,1436122,1.0,0.476,2,7,2.090322971343994,1.5591295865865855,5891.8,5843.9
2020061,2020,6,23,Ridge,-117.39970978578084,44.95286700531114,245.195491263711,42.5,50.0,-135.0,-102.5,175,1907687,0.926,0.697,3,7,2.751326560974121,2.2908742087227956,5901.8,5857.6
2020061,2020,6,24,Ridge,-121.8773011820501,44.15760654845094,365.5808894629535,42.5,47.5,-147.5,-100.0,176,2381010,0.841,0.674,4,7,2.931845188140869,2.626011537951092,5882.2,5845.7
2020061,2020,6,25,Ridge,-122.89099476156076,44.41795431383275,85.7232935876096,42.5,50.0,-145.0,-95.0,177,2594448,0.822,0.754,5,7,2.7463674545288086,2.1832496561902635,5929.8,5855.1
2020061,2020,6,26,Ridge,-119.34820102394002,44.62748327497745,281.81100130193715,42.5,50.0,-142.5,-87.5,178,2802813,0.815,0.755,6,7,2.769136428833008,1.7343369184755812,5947.2,5862.3
2020061,2020,6,27,Ridge,-108.89522342449644,43.842177575582326,836.7662253094838,42.5,47.5,-122.5,-87.5,179,1505048,0.5,0.931,7,7,1.8354296684265137,0.9484503004286025,5877.8,5829.1
2020062,2020,6,27,Ridge,-146.29007004387816,43.380320700738615,,42.5,45.0,-157.5,-132.5,179,954315,,,1,19,2.581024169921875,2.3749954560223747,5989.8,5958.0
2020062,2020,6,28,Ridge,-146.92550867206987,44.60294742191642,145.1415798709124,42.5,50.0,-157.5,-137.5,180,1098828,0.823,0.715,2,19,2.995789051055908,2.6792508363723755,5987.5,5959.1
2020062,2020,6,29,Ridge,-149.6512447700316,46.07423841703954,268.58672012039443,45.0,47.5,-162.5,-137.5,181,1070643,0.488,0.501,3,19,3.081989288330078,2.61599063873291,5953.5,5904.6
2020062,2020,6,30,Ridge,-155.5168051000511,47.27930828264338,466.9949205142688,45.0,52.5,-180.0,-135.0,182,2461032,1.0,0.435,4,19,2.547621726989746,2.036241774863385,5929.8,5852.5
2020062,2020,7,1,Ridge,-154.9898551981159,48.64161954413209,156.48014893512166,45.0,55.0,-172.5,-135.0,183,2704658,0.87,0.791,5,19,2.433943748474121,1.9978876383799427,5893.0,5837.5
2020062,2020,7,2,Ridge,-156.6547748298922,49.538080881055016,156.94871716773142,45.0,57.5,-167.5,-140.0,184,1965856,0.68,0.935,6,19,2.7330875396728516,1.9662899848742363,5870.5,5823.9
2020062,2020,7,3,Ridge,-156.18013589361902,49.47616331859591,34.95588643188489,45.0,55.0,-167.5,-147.5,185,1909419,0.825,0.85,7,19,2.7785778045654297,2.2357667747296786,5883.8,5837.2
2020062,2020,7,4,Ridge,-155.79912827761532,49.324707183954324,32.30719322824712,45.0,55.0,-167.5,-142.5,186,2175438,0.93,0.817,8,19,2.723252773284912,2.000749388406443,5906.2,5853.2
2020062,2020,7,5,Ridge,-156.09962408486518,48.47211379506994,97.31530832095788,45.0,55.0,-177.5,-140.0,187,2260548,0.893,0.86,9,19,1.9340038299560547,1.3271380554546008,5903.2,5854.9
